"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","PE2","I/O","","","DEBUG_TRACECLK","LPTIM1_IN2","","","","SPI4_SCK","","","","OCTOSPI1_IO2","","","FMC_A23","DCMI_D3/PSSI_D3","","EVENTOUT"
"2","PE3","I/O","","","DEBUG_TRACED0","","","","TIM15_BKIN","","","","","","","","FMC_A19","","","EVENTOUT"
"3","PE4","I/O","","","DEBUG_TRACED1","","","","TIM15_CH1N","SPI4_NSS","","","","","","","FMC_A20","DCMI_D4/PSSI_D4","","EVENTOUT"
"4","PE5","I/O","","","DEBUG_TRACED2","","","","TIM15_CH1","SPI4_MISO","","","","","","","FMC_A21","DCMI_D6/PSSI_D6","","EVENTOUT"
"5","PE6","I/O","","","DEBUG_TRACED3","TIM1_BKIN2","","","TIM15_CH2","SPI4_MOSI","","","","","","","FMC_A22","DCMI_D7/PSSI_D7","","EVENTOUT"
"6","VBAT","Power","","","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"8","PC14-OSC32_IN(OSC32_IN)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"9","PC15-OSC32_OUT(OSC32_OUT)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"10","VSS","Power","","","","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","","","","",""
"12","PH0-OSC_IN(PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"13","PH1-OSC_OUT(PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"14","NRST","Reset","","","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","","","","","","SPI4_MISO","SPI2_RDY","","FMC_A25","OCTOSPI1_IO7","","","","","EVENTOUT"
"16","PC1","I/O","","","DEBUG_TRACED0","","","","","I2S2_SDO/SPI2_MOSI","SPI4_MOSI","","","","OCTOSPI1_IO4","","","","","EVENTOUT"
"17","PC2","I/O","","","PWR_CSLEEP","","TIM4_CH4","","","I2S2_SDI/SPI2_MISO","OCTOSPI1_IO5","","","OCTOSPI1_IO2","","","","","","EVENTOUT"
"18","PC3","I/O","","","PWR_CSTOP","","","LPUART1_TX","","I2S2_SDO/SPI2_MOSI","OCTOSPI1_IO6","","","OCTOSPI1_IO0","","","","","","EVENTOUT"
"19","VSSA","Power","","","","","","","","","","","","","","","","","",""
"20","VREF-","Power","","","","","","","","","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","","","","",""
"23","PA0","I/O","","","","TIM2_CH1","TIM5_CH1","TIM8_ETR","TIM15_BKIN","SPI4_SCK","SPI3_RDY","USART2_CTS/USART2_NSS","UART4_TX","FDCAN2_RX","","","","","TIM2_ETR","EVENTOUT"
"24","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","TIM15_CH1N","LPTIM1_IN1","OCTOSPI1_DQS","USART2_DE/USART2_RTS","UART4_RX","OCTOSPI1_IO3","","","","","USART6_CK","EVENTOUT"
"25","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","LPUART1_TX","TIM15_CH1","LPTIM1_IN2","","USART2_TX","","","","","","","","EVENTOUT"
"26","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","OCTOSPI1_CLK","TIM15_CH2","I2S2_WS/SPI2_NSS","I2S3_SDO/SPI3_MOSI","USART2_RX","","","","","","","","EVENTOUT"
"27","VSS","Power","","","","","","","","","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","","","","","","","","","",""
"29","PA4","I/O","","","","","TIM5_ETR","LPTIM2_CH1","I2S3_SDO/SPI3_MOSI","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","DCMI_HSYNC/PSSI_DE","","EVENTOUT"
"30","PA5","I/O","","","","TIM2_CH1","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","","","","","","PSSI_D14","TIM2_ETR","EVENTOUT"
"31","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","I2S1_SDI/SPI1_MISO","OCTOSPI1_IO3","","","","","","","DCMI_PIXCLK/PSSI_PDCK","","EVENTOUT"
"32","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SDO/SPI1_MOSI","","","","","OCTOSPI1_IO2","","","FMC_NWE","","EVENTOUT"
"33","PC4","I/O","","","","TIM2_CH4","","LPTIM2_ETR","","I2S1_MCK","","USART3_RX","","","","","","","","EVENTOUT"
"34","PC5","I/O","","","","TIM1_CH4N","","","PSSI_D15","","SPI4_SCK","","","","OCTOSPI1_DQS","","","","","EVENTOUT"
